Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
1,4,4,4,Nikola Jokic,C,30.5,DEN,70,36.7,11.2,0.577,0.801,2.0,0.418,29.6,12.7,10.2,1.8,0.6,3.3,0.8,25.97
2,1,1,1,Victor Wembanyama,C,21.6,SA,46,33.2,8.9,0.476,0.835,3.1,0.353,24.3,11.0,3.7,1.1,3.8,3.2,0.6,20.46
3,2,2,2,Shai Gilgeous-Alexander,PG,27.1,OKC,76,34.2,11.3,0.520,0.899,2.1,0.374,32.7,5.0,6.4,1.7,1.0,2.4,0.1,18.47
4,19,17,20,Karl-Anthony Towns,PF/C,29.7,NY,72,35.0,8.9,0.526,0.829,2.0,0.420,24.4,12.8,3.1,1.0,0.7,2.7,0.8,17.37
5,29,24,29,Anthony Davis,PF/C,32.4,DAL,51,33.4,9.2,0.517,0.775,0.7,0.284,24.7,11.5,3.5,1.2,2.2,2.2,0.7,15.31
6,25,26,26,Domantas Sabonis,PF/C,29.3,SAC,70,34.7,7.5,0.589,0.753,0.9,0.415,19.1,13.9,6.0,0.7,0.4,2.9,0.9,14.67
7,61,44,62,Kevin Durant,PF,36.9,PHO,62,36.5,9.6,0.527,0.840,2.6,0.430,26.6,6.0,4.3,0.8,1.2,3.1,0.1,13.26
8,3,3,3,Luka Doncic,PG,26.5,LAL,50,35.4,9.2,0.450,0.782,3.5,0.368,28.2,8.2,7.7,1.8,0.4,3.6,0.4,13.21
9,106,54,107,LeBron James,SF/PF,40.6,LAL,70,34.9,9.3,0.513,0.782,2.1,0.376,24.4,7.8,8.2,1.0,0.6,3.7,0.5,13.07
10,5,5,5,Cade Cunningham,PG/SG,23.9,DET,70,35.0,9.8,0.469,0.845,2.1,0.357,26.1,6.1,9.1,1.0,0.8,4.4,0.4,12.26
11,43,43,46,James Harden,PG/SG,36.0,LAC,79,35.3,6.7,0.410,0.873,3.0,0.351,22.8,5.8,8.7,1.5,0.7,4.3,0.5,11.97
12,16,14,17,Tyrese Haliburton,PG/SG,25.5,IND,73,33.6,6.5,0.473,0.852,3.0,0.388,18.6,3.5,9.2,1.4,0.7,1.6,0.4,11.97
13,11,9,11,Giannis Antetokounmpo,PF/C,30.7,MIL,67,34.2,11.8,0.601,0.617,0.2,0.223,30.4,11.9,6.5,0.9,1.2,3.1,0.8,11.86
14,136,126,136,Damian Lillard,PG,35.1,MIL,58,36.1,7.7,0.448,0.920,3.4,0.377,24.9,4.7,7.1,1.2,0.2,2.8,0.2,11.79
15,45,41,48,Stephen Curry,PG,37.4,GS,70,32.2,8.1,0.449,0.934,4.4,0.396,24.5,4.4,6.0,1.1,0.4,2.9,0.1,11.78
16,8,8,8,Trae Young,PG,26.9,ATL,76,36.0,7.5,0.411,0.875,2.9,0.340,24.2,3.1,11.6,1.2,0.2,4.7,0.7,11.66
17,126,125,128,Nikola Vucevic,C,34.8,CHI,73,31.2,7.5,0.530,0.804,1.8,0.402,18.5,10.1,3.5,0.8,0.7,1.6,0.6,11.43
18,7,7,7,Anthony Edwards,SG/SF,24.0,MIN,79,36.3,9.1,0.447,0.836,4.1,0.394,27.6,5.7,4.5,1.2,0.6,3.1,0.1,10.83
19,48,51,50,Ivica Zubac,C,28.4,LAC,80,32.8,7.4,0.629,0.661,0.0,0.000,16.8,12.6,2.7,0.7,1.1,1.6,0.7,10.57
20,15,21,16,Jayson Tatum,SF/PF,27.5,BOS,72,36.4,9.2,0.452,0.813,3.5,0.343,26.8,8.7,6.0,1.1,0.5,2.9,0.4,10.52
21,17,15,18,Jalen Johnson,PF,23.7,ATL,36,35.7,7.5,0.499,0.746,1.2,0.311,18.9,10.0,5.0,1.6,1.0,2.9,0.6,10.29
22,49,42,51,Kyrie Irving,PG/SG,33.4,DAL,50,36.1,8.9,0.473,0.916,2.9,0.401,24.7,4.8,4.6,1.3,0.5,2.2,0.0,10.16
23,9,10,9,Evan Mobley,PF/C,24.2,CLE,71,30.5,7.1,0.557,0.723,1.2,0.370,18.5,9.3,3.2,0.9,1.6,2.0,0.5,10.12
24,57,63,59,Zach LaVine,SG/SF,30.4,SAC,74,35.2,8.5,0.511,0.826,3.2,0.446,23.3,4.3,4.2,0.8,0.2,2.8,0.1,9.47
